1325769	3128026	eu	Bilbo						
1565386	3128026	es	El Bocho						
1968272	3128026	es	Bilbao	1					
1968273	3128026		Bilbao						
2039076	3128026	eu	Bilbao	1					
2039077	3128026	pt	Bilbau						
2039078	3128026	eo	Bilbao						
2148428	3128026	post	48080						
2148598	3128026	post	48002						
2148599	3128026	post	48003						
2148600	3128026	post	48004						
2148601	3128026	post	48070						
2148602	3128026	post	48071						
2148614	3128026	post	48006						
2148615	3128026	post	48014						
2148618	3128026	post	48008						
2148619	3128026	post	48015						
2148621	3128026	post	48007						
2148622	3128026	post	48005						
2148623	3128026	post	48012						
2148650	3128026	post	48001						
2148652	3128026	post	48009						
2148653	3128026	post	48013						
2148655	3128026	post	48010						
2148670	3128026	post	48011						
2426128	3128026	ru	Бильбао						
2920566	3128026	link	https://en.wikipedia.org/wiki/Bilbao						
3055848	3128026	link	https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BB%D1%8C%D0%B1%D0%B0%D0%BE						
5882689	3128026	ja	ビルバオ						
5882690	3128026	cy	Bilbo						
5882691	3128026	os	Бильбао						
5882692	3128026	ce	Билбао						
5882693	3128026	fa	بیلبائو						
5882694	3128026	sr	Билбао						
5882695	3128026	uk	Більбао						
5882696	3128026	br	Bilbo						
5882697	3128026	ug	Bilbaw						
5882698	3128026	ext	Bilbau						
5882699	3128026	el	Μπιλμπάο						
5882700	3128026	ko	빌바오						
5882701	3128026	bg	Билбао						
5882702	3128026	he	בילבאו						
5882703	3128026	be	Більбаа						
5882704	3128026	la	Bilbaum						
5882705	3128026	an	Bilbau						
5882706	3128026	ka	ბილბაო						
5882707	3128026	th	บิลบาโอ						
5882708	3128026	zh	毕尔巴鄂						
5882709	3128026	ar	بلباو						
5882710	3128026	mr	बिल्बाओ						
5882711	3128026	gl	Bilbo						
5882712	3128026	pms	Bilbo / Bilbao						
5882713	3128026	mhr	Бильбао						
6634068	3128026	iata	BIO						
8183693	3128026	hy	Բիլբաո						
8183694	3128026	mn	Бильбао						
8183695	3128026	xmf	ბილბაო						
8183696	3128026	ckb	بیلباو						
8183697	3128026	kk	Бильбао						
13750954	3128026	unlc	ESBIO						
3128026	134091	fa	Gerakān
