# This file is called   force.dat
# Force-Deflection data for a beam and a bar
# 'Años hasta jubilación'	'Rentabilidad'	'Comisión'
-29				0.333		1.6
-28				0.344		1.6
-27				0.357		1.6
-26				0.370		1.6
-25				0.384		1.6
-24				0.416		1.6
-23				0.434		1.6
-22				0.454		1.6
-21				0.476		1.6
-20				0.5		1.6
-19				0.526		1.6
-18				0.555		1.6
-17				0.588		1.6
-16				0.625		1.6
-15				0.666		1.6
-14				0.714		1.6
-13				0.769		1.6
-12				0.833		1.6
-11				0.909		1.6
-10				1		1.6
-9				1.111		1.6
-8				1.25		1.6
-7				1.428		1.6
-6				1.666		1.6
-5				2		1.6
-4				2.5		1.6
-3				3.333		1.6
-2				5		1.6
-1				10		1.6

